ID1,keyword,"grammar, context",An example of how this word is used:,French,French translation/meaning of the English example
190,afternoons,pl,"""afternoons"" is the plural of:  afternoon",après-midi,
201,aged,si,"""aged"" is the past tense of:  age","âgé, vieilli",
209,ages,pl,"""ages"" is the plural of:  age","âges, époques",
211,aggravated,si,"""aggravated"" is the past tense of:  aggravate",aggravé,
220,agreed,si,"""agreed"" is the past tense of:  agree","convenu, accepté, approuvé",
222,agreements,pl,"""agreements"" is the plural of:  agreement","accords, engagements",
232,aimed,si,"""aimed"" is the past tense of:  aim",visé,
245,airplanes,pl,"""airplanes"" is the plural of:  airplane",avions,
247,airports,pl,"""airports"" is the plural of:  airport",aéroports,
253,alarm clocks,pl,"""alarm clocks"" is the plural of:  alarm clock",réveille-matin,
257,albums,pl,"""albums"" is the plural of:  album",albums,
287,allowed,si,"""allowed"" is the past tense of:  allow","autorisé, permis",
304,alterations,pl,"""alterations"" is the plural of:  alteration",,
305,altered,si,"""altered"" is the past tense of:  alter",,
317,amateurs,pl,"""amateurs"" is the plural of:  amateur",amateurs,
336,amused,si,"""amused"" is the past tense of:  amuse",,
343,analyses,pl,"""analyses"" is the plural of:  analysis",analyses,
346,analyzed,si,"""analyzed"" is the past tense of:  analyze",,
353,angered,si,"""angered"" is the past tense of:  anger",,
355,angrier,co,"""angrier"" is the comparative of :  angry",plus en colère,
356,angriest,su,"""angriest"" is the superlative of:  angry",le/la/les  plus en colère,
360,ankles,pl,"""ankles"" is the plural of:  ankle",chevilles,
362,anniversaries,pl,"""anniversaries"" is the plural of:  anniversary","anniversaires, commémorations",
366,announcements,pl,"""announcements"" is the plural of:  announcement","annonces, faire-part",
368,announcers,pl,"""announcers"" is the plural of:  announcer","présentateurs, présentatrices",
370,annoyed,si,"""annoyed"" is the past tense of:  annoy",,
377,answered,si,"""answered"" is the past tense of:  answer",,
378,answers,pl,"""answers"" is the plural of:  answer",réponses,
418,apartments,pl,"""apartments"" is the plural of:  apartment",appartements,
421,apologies,pl,"""apologies"" is the plural of:  apology",excuses,
423,apologized,si,"""apologized"" is the past tense of: apologize",excusé,
433,appealed,si,"""appealed"" is the past tense of: appeal",,
436,appearances,pl,"""appearances"" is the plural of:  appearance",apparences,
437,appeared,si,"""appeared"" is the past tense of:  appear",,
441,appetites,pl,"""appetites"" is the plural of:  appetite",,
445,applauded,si,"""applauded"" is the past tense of:  applaud",,
447,apples,pl,"""apples"" is the plural of:  apple",pommes,
451,applications,pl,"""applications"" is the plural of:  application",,
452,applied,si,"""applied"" is the past tense of:  apply",,
456,appointed,si,"""appointed"" is the past tense of:  appoint",,
459,appointments,pl,"""appointments"" is the plural of:  appointment",rendez-vous,
462,appreciated,si,"""appreciated"" is the past tense of:  appreciate",,
466,apprentices,pl,"""apprentices"" is the plural of:  apprentice",,
470,approached,si,"""approached"" is the past tense of:  approach",,
474,approved,si,"""approved"" is the past tense of:  approve",approuvé,
480,aquariums,pl,"""aquariums"" is the plural of:  aquarium",aquariums,
492,areas,pl,"""areas"" is the plural of:  area","zones, quartiers, secteurs",
497,argued,si,"""argued"" is the past tense of:  argue",,
500,arguments,pl,"""arguments"" is the plural of:  argument","disputes, débats",
508,armed,si,"""armed"" is the past tense of:  arm",,
510,armies,pl,"""armies"" is the plural of:  army",armées,
512,arms,pl,"""arms"" is the plural of:  arm",bras,
521,aroused,si,"""aroused"" is the past tense of:  arrouse",,
523,arranged,si,"""arranged"" is the past tense of:  arrange",,
529,arrived,si,"""arrived"" is the past tense of: arrive",arrivé,
535,articles,pl,"""'articles"" is the plural of:  article",articles,
563,asked,si,"""asked"" is the past tense of:  ask",demandé,
564,asked for,si,"""asked for"" is the past tense of:  ask for",,
565,asked out,si,"""asked out"" is the past tense of:  ask out",,
572,assassins,pl,"""assassins"" is the plural of:  assassin",assassins,
579,assigned,si,"""assigned"" is the past tense of:  assign","assigné, attribué",
581,assignments,pl,"""assignments"" is the plural of:  assignment","tâches, devoirs",
584,assistants,pl,"""assistants"" is the plural of:  assistant","assistants, assistantes",
607,ate in,si,"""ate in"" is the past tense of:  eat in",,
608,ate out,si,"""ate out"" is the past tense of:  eat out",,
609,ate up,si,"""ate up"" is the past tense of:  eat up",,
611,athletes,pl,"""athletes"" is the plural of:  athlete",athlètes,
616,attached,si,"""attached"" is the past tense of:  attach",,
624,attempted,si,"""attempted"" is the past tense of:  attempt",,
628,attendants,pl,"""attendants"" is the plural of:  attendant","gardiens, gardiennes",
629,attended,si,"""attended"" is the past tense of:  attend","assisté, suivi, allé",
633,attics,pl,"""attics"" is the plural of:  attic",greniers,
636,attracted,si,"""attracted"" is the past tense of:  attract","attiré, tenté",
643,audiences,pl,"""audiences"" is the plural of:  audience",spectateurs,
647,audited,si,"""audited"" is the past tense of:  audit","audité, vérifié",
650,audits,pl,"""audits"" is the plural of:  audit",audits,
678,avoided,si,"""avoided"" is the past tense of:  avoid",évité,
684,awarded,si,"""awarded"" is the past tense of:  awaed","attribué, accordé, décerné",
699,babies,pl,"""babies"" is the plural of:  baby",bébés,
714,backed,si,"""backed"" is the past tense of:  back",,
715,backed,si,"""backed"" is the past tense of:  back",,
716,backed out,si,"""backed out"" is the past tense of:  back out",,
717,backed up,si,"""backed up"" is the past tense of:  back up",,
724,backpacks,pl,"""backpacks"" is the plural of:  backpack",sacs à dos,
742,bags,pl,"""bags"" is the plural of:  bag",sacs,
745,baked,si,"""baked"" is the past tense of:  bake",,
746,bakeries,pl,"""bakeries"" is the plural of:  bakery",,
750,balance sheets,pl,"""balance sheets"" is the plural of:  balance sheet",bilans,
757,balmier,co,"""balmier"" is the comparative of :  balmy",,
758,balmiest,su,"""balmiest"" is the superlative of:  balmy",,
764,bananas,pl,"""bananas"" is the plural of:  banana",bananes,
771,bandaged,si,"""bandaged"" is the past tense of:  bandage",,
772,banded,si,"""banded"" is the past tense of:  band",,
779,banks,pl,"""banks"" is the plural of:  bank",banques,
780,banned,si,"""banned"" is the past tense of:  ban",,
784,barbecues,pl,"""barbecues"" is the plural of:  barbecue",barbecues,
792,barked,si,"""barked"" is the past tense of:  bark",,
802,basemen,pl,"""basemen"" is the plural of:  baseman",,
815,bathrooms,pl,"""bathrooms"" is the plural of:  bathroom",salles de bain,
816,baths,pl,"""baths"" is the plural of:  bath",bains,
822,batteries,pl,"""batteries"" is the plural of:  battery","piles, batteries",
860,bedrooms,pl,"""bedrooms"" is the plural of:  bedroom",chambres à coucher,
861,beds,pl,"""beds"" is the plural of:  bed",lits,
882,behaviors,pl,"""behaviors"" is the plural of:  behavior",comportements,
895,believed,si,"""believed"" is the past tense of:  believe",cru,
897,bells,pl,"""bells"" is the plural of:  bell",cloches,
900,belonged to,si,"""belonged to"" is the past tense of:  belong to",appartenu à,
906,beltways,pl,"""beltways"" is the plural of:  beltway",(routes) périphériques,
917,bent,si,"""bent"" is the past tense of:  bend","courbé, penché",
924,best,su,"""best"" is the superlative of:  good",le/la/les meilleur/e/s,
939,bets,pl,"""bets"" is the plural of:  bet",paris,
947,better,co,"""better"" is the comparative of :  good",,
948,better,co,"""better"" is the comparative of :  good",,
954,bickered,si,"""bickered"" is the past tense of:  bicker",,
957,bicycled,si,"""bicycled"" is the past tense of:  bicycle",,
958,bicycles,pl,"""bicycles"" is the plural of:  bicycle",,
961,bigger,co,"""bigger"" is the comparative of :  big",,
962,bigger,co,"""bigger"" is the comparative of :  big",,
963,biggest,su,"""biggest"" is the superlative of:  big","le/la/les plus gros, grosse/s",
966,biked,si,"""biked"" is the past tense of:  bike",,
974,bills,pl,"""bills"" is the plural of:  bill","factures, notes, additions",
977,binders,pl,"""binders"" is the plural of:  binder",classeurs,
978,bins,pl,"""bins"" is the plural of:  bin",poubelles,
983,birthdays,pl,"""birthdays"" is the plural of:  birthday",anniversaires,
995,blacker,co,"""blacker"" is the comparative of :  black",,
996,blackest,su,"""blackest"" is the superlative of:  black","le/la/les plus noir/s, noire/s",
1001,blamed,si,"""blamed"" is the past tense of:  blame",,
1015,bleach,pl,"""bleach"" is the plural of:  bleach",,
1024,blocked,si,"""blocked"" is the past tense of:  block",,
1025,blocks,pl,"""blocks"" is the plural of:  block",,
1027,blonder,co,"""blonder"" is the comparative of :  blond",,
1028,blondest,su,"""blondest"" is the superlative of:  blond","le/la/les plus blond/s, blonde/s",
1033,bloomed,si,"""bloomed"" is the past tense of:  bloom",,
1036,blossomed,si,"""blossomed"" is the past tense of:  blossom",,
1044,blueberries,pl,"""blueberries"" is the plural of:  ""blueberry",myrtilles,
1046,bluer,co,"""bluer"" is the comparative of :  blue",,
1049,bluest,su,"""bluest"" is the superlative of:  blue",,
1057,blushed,si,"""blushed"" is the past tense of:  blush",,
1063,boarded,si,"""boarded"" is the past tense of:  board",,
1066,boats,pl,"""boats"" is the plural of:  boat",bateaux,
1069,bodies,pl,"""bodies"" is the plural of:  body",corps,
1073,boiled,si,"""boiled"" is the past tense of:  boil",bouilli,
1076,bolder,co,"""bolder"" is the comparative of :  bold",,
1077,boldest,su,"""boldest"" is the superlative of:  bold","le/la/les plus intrépide/s, audacieux; audacieuse/s",
1084,bombs,pl,"""bombs"" is the plural of:  bomb",bombes,
1089,bonds,pl,"""bonds"" is the plural of:  bond",,
1091,bones,pl,"""bones"" is the plural of:  bone",os,
1094,bonuses,pl,"""bonuses"" is the plural of:  bonus",,
1099,booked,si,"""booked"" is the past tense of:  book",,
1101,bookkeepers,pl,"""bookkeepers"" is the plural of:  bookkeeper",,
1103,books,pl,"""books"" is the plural of:  book",livres,
1110,booths,pl,"""booths"" is the plural of:  booth",cabines,
1111,boots,pl,"""boots"" is the plural of:  boot",bottes,
1115,bordered,si,"""bordered"" is the past tense of:  border",,
1117,bored,si,"""bored"" is the past tense of:  bore",,
1121,borrowed,si,"""borrowed"" is the past tense of:  borrow",,
1123,bosses,pl,"""bosses"" is the plural of:  boss",,
1131,bothered,si,"""bothered"" is the past tense of:  bother",,
1134,bottles,pl,"""bottles"" is the plural of:  bottle",bouteilles,
1143,bow,"noun, knot, tie","as in ""a bow tie"" "" a bow in her hair""",,
1144,bow,"noun, boats","as in ""to bend oneself""",,
1145,bow,verb,The performer bowed to the audience.,,L'artiste a salué le public.
1146,bow,"noun, clothing","as in ""a bow tie"" "" a bow in her hair""",,"""Un nœud papillon"" ""un nœud dans les cheveux"""
1147,bow  (to take a bow),noun,The performer bowed to the audience.,,L'artiste a salué le public.
1152,bowls,pl,"""bowls"" is the plural of:  bowl",,
1156,boxes,pl,"""boxes"" is the plural of:  box",boîtes,
1160,boycotted,si,"""boycotted"" is the past tense of:  boycott",,
1163,brainier,co,"""brainier"" is the comparative of :  brainy",,
1164,brainiest,su,"""brainiest"" is the superlative of:  brainy",,
1165,brains,pl,"""brains"" is the plural of:  brain",,
1174,braver,co,"""braver"" is the comparative of :  brave",,
1175,bravest,su,"""bravest"" is the superlative of:  brave",,
1181,break,verb,How did he break his leg?,,Comment s'est-il cassé la jambe ?
1194,breakdowns,pl,"""breakdowns"" is the plural of:  breakdown",,
1196,breakfasts,pl,"""breakfasts"" is the plural of:  breakfast",petits-déjeuners,
1197,breaks,pl,"""breaks"" is the plural of:  break",fractures,
1199,breakthroughs,pl,"""breakthroughs"" is the plural of:  breakthrough",,
1209,breathed in,si,"""breathed in"" is the past tense of:  breathe in",,
1210,breathed out,si,"""breathed out"" is the past tense of:  breathe out",,
1219,briefer,co,"""briefer"" is the comparative of :  brief",,
1220,briefest,su,"""briefest"" is the superlative of:  brief",,
1225,brightened,si,"""brightened"" is the past tense of:  brighten",,
1226,brighter,co,"""brighter"" is the comparative of :  bright",,
1227,brightest,su,"""brightest"" is the superlative of:  bright","le/la/les plus vif/s,vive/s, brillant/e/s ",
1237,brisker,co,"""brisker"" is the comparative of :  brisk",,
1238,briskest,su,"""briskest"" is the superlative of:  brisk",,
1243,broader,co,"""broader"" is the comparative of :  broad",,
1244,broadest,su,"""broadest"" is the superlative of:  broad","le/la/les plus large/s, vaste/s",
1247,brochures,pl,"""brochures"" is the plural of:  brochure","brochures, fascicules",
1249,broke,si,"""broke"" is the past tense of:  break","cassé, brisé",
1250,broke away,si,"""broke away"" is the past tense of:  break away",,
1251,broke down,si,"""broke down"" is the past tense of:  break down",,
1252,broke in,si,"""broke in"" is the past tense of:  break in",,
1253,broke off,si,"""broke off"" is the past tense of:  break off",,
1260,brothers,pl,"""brothers"" is the plural of:  brother",frères,
1261,brought,si,"""brought"" is the past tense of:  bring",apporté,
1262,brought in,si,"""brought in"" is the past tense of:   bring in",,
1264,browner,co,"""browner"" is the comparative of :  brown",,
1265,brownest,su,"""brownest"" is the superlative of:  brown",,
1266,browse,verb,"""Do you need any help?"" ""No, thanks. I'm just browsing.""",,"""Avez-vous besoin d'aide ?"" ""Non, merci. Je souhaite juste  regarder""."
1267,browser,noun,"A tool for casual searching; for looking without a specific, conscious goal",,
1272,brushed,si,"""brushed"" is the past tense of:  brush",,
1275,bubbles,pl,"""bubbles"" is the plural of:  bubble",bulles,
1276,bubblier,co,"""bubblier"" is the comparative of : bubbly",,
1277,bubbliest,su,"""bubbliest"" is the superlative of:  bubbly",,
1285,bugs,pl,"""bugs"" is the plural of:  bug","insectes, bogues",
1290,built,si,"""built"" is the past tense of:  build",construit,
1295,bulkier,co,"""bulkier"" is the comparative of :  bulky",,
1296,bulkiest,su,"""bulkiest"" is the superlative of:  bulky",,
1305,burglars,pl,"""burglars"" is the plural of:  burglar","cambrioleurs, cambrioleuses",
1306,buried,si,"""buried"" is the past tense of:  bury",enterré,
1317,buses,pl,"""buses"" is the plural of:  bus",bus,
1319,busier,co,"""busier"" is the comparative of :  busy",,
1320,busiest,su,"""busiest"" is the superlative of:  busy","le/la/les plus occupé/e/s, chargé/e/s",
1329,businesses,pl,"""businesses"" is the plural of:  business",,
1349,buttered,si,"""buttered"" is the past tense of:  butter",,
1354,buttoned,si,"""buttoned"" is the past tense of:  button",,
1355,buttons,pl,"""buttons"" is the plural of:  button",boutons,
1356,buy,verb,When did you buy it?,,Quand l'avez-vous acheté ?
1382,cadets,pl,"""cadets"" is the plural of:  cadet",cadets,
1384,cafés,pl,"""cafés"" is the plural of:  café",cafés,
1386,cages,pl,"""cages"" is the plural of:  cage",cages,
1391,cakes,pl,"""cakes"" is the plural of:  cake",gâteaux,
1393,calculated,si,"""calculated"" is the past tense of:  calculate",,
1415,called,si,"""called"" is the past tense of:  call",,
1416,called for,si,"""called for"" is the past tense of:  call for",,
1417,called up,si,"""called up"" is the past tense of:  call up",,
1419,calls,pl,"""calls"" is the plural of:  call",appels,
1424,calmed,si,"""calmed"" is the past tense of:  calm",,
1425,calmer,co,"""calmer"" is the comparative of :  calm",,
1426,calmest,su,"""calmest"" is the superlative of:  calm",le/la/les plus calme/s,
1427,came,si,"""came"" is the past tense of:  come",venu,
1428,came down with,si,"""came down with"" is the past tense of:  come down with",,
1429,came from,si,"""came from"" is the past tense of:  come from",venu de,
1430,came in,si,"""came in"" is the past tense of:  come in",entré,
1431,came out,si,"""came out"" is the past tense of:  come out",,
1432,came to,si,"""came to"" is the past tense of:  come to",,
1433,came up,si,"""came up"" is the past tense of:  come up",,
1438,campaigned,si,"""campaigned"" is the past tense of:  campaign",,
1439,campaigns,pl,"""campaigns"" is the plural of:  campaign",campagnes,
1462,cancelled,si,"""cancelled"" is the past tense of:  cancel",annulé,
1465,candidates,pl,"""candidates"" is the plural of:  candidate","candidats, candidates",
1466,candies,pl,"""candies"" is the plural of:  candy",bonbons,
1470,candles,pl,"""candles"" is the plural of:  candle",bougies,
1489,captured,si,"""captured"" is the past tense of:  capture",,
1500,cared,si,"""cared"" is the past tense of:  care",,
1502,careers,pl,"""careers"" is the plural of:  career",carrières,
1510,carnivals,pl,"""carnivals"" is the plural of:  carnival",carnavals,
1513,carpets,pl,"""carpets"" is the plural of:  carpet","tapis, moquette",tapis est invariable
1516,carried,si,"""carried"" is the past tense of:  carry",,
1517,carried on,si,"""carried on"" is the past tense of:  carry on",,
1523,cars,pl,"""cars"" is the plural of:  car",voitures,
1527,cartridges,pl,"""cartridges"" is the plural of:  cartridge",cartouches,
1528,carts,pl,"""carts"" is the plural of:  cart",charrettes,
1531,carved,si,"""carved"" is the past tense of:  carve",,
1538,cashed,si,"""cashed"" is the past tense of:  cash",,
1541,cashiers,pl,"""cashiers"" is the plural of:  cashier",,
1548,cast,si,"""cast"" is the past tense of:  cast",,
1550,cast off,si,"""cast off"" is the past tense of:  cast off",,
1559,cataracts,pl,"""cataracts"" is the plural of:  cataract",cataractes,
1571,catchers,pl,"""catchers"" is the plural of:  catcher",,
1574,cathedrals,pl,"""cathedrals"" is the plural of:  cathedral",cathédrales,
1575,caught,si,"""caught"" is the past tense of:  catch",attrapé,
1579,caused,si,"""caused"" is the past tense of:  cause",causé,
1580,causes,pl,"""causes"" is the plural of:  cause","causes,  raisons, motifs",
1585,caved in,si,"""caved in"" is the past tense of:  cave in",,
1590,ceased,si,"""ceased"" is the past tense of:  cease",,
1593,celebrated,si,"""celebrated"" is the past tense of:  celebrate",célébré,
1605,centered,si,"""centered"" is the past tense of:  center",,
1607,centers,pl,"""centers"" is the plural of:  center",,
1614,ceremonies,pl,"""ceremonies"" is the plural of:  ceremony",cérémonies,
1626,chairmen,pl,"""chairmen"" is the plural of:  chaiman","présidents, présidentes",
1628,chairs,pl,"""chairs"" is the plural of:  chair",chaises,
1637,challenges,pl,"""challenges"" is the plural of:  challenge",défis,
1641,championships,pl,"""championships"" is the plural of:  championship",championnats,
1656,changed,si,"""changed"" is the past tense of:  change",changé,
1657,changes,pl,"""changes"" is the plural of:  change",changements,
1661,channels,pl,"""channels"" is the plural of:  channel","canaux, chaînes",
1668,characters,pl,"""characters"" is the plural of:  character",personnages,
1672,charged,si,"""charged"" is the past tense of:  charge",,
1673,charities,pl,"""charities"" is the plural of:  charity",œuvres de charité,
1679,chauffeurs,pl,"""chauffeurs"" is the plural of:  chauffeur",chauffeurs,
1682,cheapened,si,"""cheapened"" is the past tense of:  cheapen",,
1683,cheaper,co,"""cheaper"" is the comparative of :  cheap","moins cher/s, chère/s",
1684,cheapest,su,"""cheapest"" is the superlative of:  cheap","le/la/les moins cher/s, chères",
1700,checked,si,"""checked"" is the past tense of:  check",,
1701,checked in,si,"""checked in"" is the past tense of:  check in",,
1702,checked out,si,"""checked out"" is the past tense of:  check out",,
1706,cheered,si,"""cheered"" is the past tense of:  cheer",,
1707,cheered up,si,"""cheered up"" is the past tense of:  cheer up",,
1712,cheeses,pl,"""cheeses"" is the plural of:  cheese",fromages,
1714,chefs,pl,"""chefs"" is the plural of:  chef",chefs cuisiniers,
1718,chemicals,pl,"""chemicals"" is the plural of:  chemical",(produits) chimiques,
1720,cherries,pl,"""cherries"" is the plural of:  cherry",cerises,
1725,chess,pl,"""chess"" is the plural of:  chess",échecs,mot invariable
1742,children,pl,"""children"" is the plural of:  chid",enfants,
1745,chili peppers,pl,"""chili peppers"" is the plural of:  chili pepper",piments,
1748,chilled,si,"""chilled"" is the past tense of:  chill",,
1759,chocolates,pl,"""chocolates"" is the plural of:  chocolate",chocolats,
1761,choices,pl,"""choices"" is the plural of:  choice",choix,
1763,choirs,pl,"""choirs"" is the plural of:  choir",chœurs,
1766,chopped,si,"""chopped"" is the past tense of:  chop","émincé, haché",
1769,chores,pl,"""chores"" is the plural of:  chore",corvées,
1770,chose,si,"""chose"" is the past tense of:  choose",choisi,
1777,churches,pl,"""churches"" is the plural of:  church",églises,
1779,cinemas,pl,"""cinemas"" is the plural of:  cinema",cinémas,
1782,circled,si,"""circled"" is the past tense of:  circle",encerclé,
1790,circuses,pl,"""circuses"" is the plural of:  circus","cirques, ronds-points",
1791,cities,pl,"""cities"" is the plural of:  city",villes,
1797,claimed,si,"""claimed"" is the past tense of:  claim","revendiqué, prétendu",
1798,claims,pl,"""claims"" is the plural of:  claim",revendications,
1802,classes,pl,"""classes"" is the plural of:  class","classes, cours",
1809,cleaned,si,"""cleaned"" is the past tense of:  clean",,
1811,cleaner,co,"""cleaner"" is the comparative of :  clean",,
1813,cleanest,su,"""cleanest"" is the superlative of:  clean",le/la/les plus propres,
1824,cleared up,si,"""cleared up"" is the past tense of:  clear up",,
1825,clearer,co,"""clearer"" is the comparative of :  clear",,
1826,clearest,su,"""clearest"" is the superlative of: clear",,
1830,clerks,pl,"""clerks"" is the plural of:  clerk",,
1834,clients,pl,"""clients"" is the plural of:  client",clients,
1841,climbed,si,"""climbed"" is the past tense of:  climb",,
1842,climbed up,si,"""climbed up"" is the past tense of:  climb up",,
1848,clipped,si,"""clipped"" is the past tense of:  clip",,
1850,clips,pl,"""clips"" is the plural of:  clip",,
1852,clocks,pl,"""clocks"" is the plural of:  clock","horloges, pendules",
1863,closed,si,"""closed"" is the past tense of:  close",,
1865,closed down,si,"""closed down"" is the past tense of:  close down",,
1869,closer,co,"""closer"" is the comparative of :  close",,
1870,closest,su,"""closest"" is the superlative of:  close",le/la/les plus proches,
1872,closets,pl,"""closets"" is the plural of:  closet","armoires, placards",
1879,clouded over,si,"""clouded over"" is the past tense of:  cloud over",,
1880,cloudier,co,"""cloudier"" is the comparative of :  cloudy",,
1881,cloudiest,su,"""cloudiest"" is the superlative of:  cloudy",,
1882,clouds,pl,"""clouds"" is the plural of:  cloud",nuages,
1888,clowns,pl,"""clowns"" is the plural of:  clown",clowns,
1893,clued in,si,"""clued in"" is the past tense of:  clue in",,
1899,coaches,pl,"""coaches"" is the plural of:  coach",cars,
1905,coarser,co,"""coarser"" is the comparative of :  coarse",,
1906,coarsest,su,"""coarsest"" is the superlative of:  coarse",,
1909,coasts,pl,"""coasts"" is the plural of:  coast",côtes,
1913,coats,pl,"""coats"" is the plural of:  coat",manteaux,
1917,coffees,pl,"""coffees"" is the plural of:  coffee",cafés,
1923,coins,pl,"""coins"" is the plural of:  coin",pièces (de monnaie),
1928,coldest,su,"""coldest"" is the superlative of:  cold","le/la/les plus froid/s, froide/s",
1936,collapsed,si,"""collapsed"" is the past tense of:  collapse","effondré, écroulé",
1939,colleagues,pl,"""colleagues"" is the plural of:  colleague",collègues,
1944,collections,pl,"""collections"" is the plural of:  collection",,
1948,colleges,pl,"""colleges"" is the plural of:  college",,
1959,colored,si,"""colored"" is the past tense of:  color",,
1962,colors,pl,"""colors"" is the plural of:  color",couleurs,
1968,columnists,pl,"""columnists"" is the plural of:  columnist","chroniqueurs, chroniqueuses",
1992,comedians,pl,"""comedians"" is the plural of:  comedian","comédiens, comédiennes",
1993,comedies,pl,"""comedies"" is the plural of:  comedy",comédies,
2005,commercials,pl,"""commercials"" is the plural of:  commercial",publicités,
2009,commissions,pl,"""commissions"" is the plural of:  commission",commissions,
2014,commitments,pl,"""commitments"" is the plural of:  commitment",engagements,
2015,committed,si,"""committed"" is the past tense of:  commit",commis,
2023,communities,pl,"""communities"" is the plural of:  community",communautés,
2026,companies,pl,"""companies"" is the plural of:  company",sociétés,
2028,company,pl,"""company"" is the plural of:  company",compagnie,
2044,complained,si,"""complained"" is the past tense of:  complain",plaint,
2050,completed,si,"""completed"" is the past tense of:  complete","terminé, achevé",
2060,compliments,pl,"""compliments"" is the plural of:  compliment",compliments,
2063,composers,pl,"""composers"" is the plural of:  composer","compositeurs, compositrices",
2068,computers,pl,"""computers"" is the plural of:  computer",ordinateurs,
2070,conceded,si,"""conceded"" is the past tense of:  concede","concédé, accordé",
2079,concerts,pl,"""concerts"" is the plural of:  concert",concerts,
2081,concierges,pl,"""concierges"" is the plural of:  concierge",concierges,
2084,concluded,si,"""concluded"" is the past tense of:  conclude",conclu,
2089,condemned,si,"""condemned"" is the past tense of:  condemn",condamné,
2098,condominiums,pl,"""condominiums"" is the plural of:  condominium",copropriétés,
2102,cones,pl,"""cones"" is the plural of:  cone",cornets,
2104,conferences,pl,"""conferences"" is the plural of:  conference","conférences, congrès",
2108,confirmed,si,"""confirmed"" is the past tense of:  confirm",confirmé,
2109,conflict,verb,They conflict on that issue.,,Ils se heurtent/s'opposent sur ce point.
2115,confused,"verb, past participle",I'm afraid I confused John and Jean.,,J'ai bien peur d'avoir confondu John et Jean.
2121,congratulated,si,"""congratulated"" is the past tense of:  congratulate",félicité,
2124,congregations,pl,"""congregations"" is the plural of:  congregation","assemblées, congrégations",
2127,congresses,pl,"""congresses"" is the plural of:  congress",congrès,
2129,congressmen,pl,"""congressmen"" is the plural of:  congressman",députés,
2148,consoled,si,"""consoled"" is the past tense of:  console",consolé,
2157,consultants,pl,"""consultants"" is the plural of:  consultant",consultants,
2160,consumers,pl,"""consumers"" is the plural of:  consumer","consommateur, consommatrice",
2168,contained,si,"""contained"" is the past tense of:  contain",contenu,
2170,containers,pl,"""containers"" is the plural of:  container","récipients, conteneurs, containers",
2172,contemporaries,pl,"""contemporaries"" is the plural of:  contemporary","contemporains, contemporaines",
2179,contents,pl,"""contents"" is the plural of:  content",contenus,
2184,contested,si,"""contested"" is the past tense of:  contest","contesté, disputé",
2185,contests,pl,"""contests"" is the plural of:  contest","concours, compétitions",
2191,continued,si,"""continued"" is the past tense of:  continue","continué, maintenu",
2197,contracted,si,"""contracted"" is the past tense of:  contract",contracté,
2200,contracts,pl,"""contracts"" is the plural of:  contract",contrats,
2202,contraries,pl,"""contraries"" is the plural of:  contrary",contraires,
2207,contributions,pl,"""contributions"" is the plural of:  contribution","contributions, dons",
2211,controlled,si,"""controlled"" is the past tense of:  control","contrôlé, maîtrisé, dirigé",
2217,conversations,pl,"""conversations"" is the plural of:  conversation",conversations,
2223,convinced,si,"""convinced"" is the past tense of:  convince",convaincu,
2227,cooked,si,"""cooked"" is the past tense of:  cook",cuisiné,
2229,cookies,pl,"""cookies"" is the plural of:  cookie","biscuits, cookies",
2238,cooled,si,"""cooled"" is the past tense of:  cool",rafraîchi,
