"Date de création","Date de modification","concept","specificity","context","grammar, syntax, context","frequency","keyword","Pronunciation","Listen to the example","entry letter","French","An example of how this word is used:","French translation/meaning of the English example","plural and/or 3rd person form","antonyms","synonyms","homonyms","comparative","superlative","infinitive","simple past","past participle","present participle","frequent uses","For more","Id","image","video","CL syntax pdf","Look it up in Wordnik!"
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"abstract or conceptual words","noun, abstract","H","ability","MF48137.mp3","EX48137.mp3","a","capacité, aptitude","Rodney feels confident enough in his ability to create a new company.","Rodney ne doute pas un seul instant de sa capacité à créer une nouvelle entreprise.","abilities","inability","capability, capacity",,,,,,,,,"For more, see: ""able"" ""aptitude"" ""capacity"" ""capability""",18,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","H","able","MF04003.mp3","EX04003.mp3",,"être capable de, pouvoir","Fifty years ago, people said you'd never be able to fly to the moon, but they were wrong; today we can fly past the moon.","Il y a cinquante ans, les gens disaient qu'on ne pourrait jamais aller sur la lune. Mais ils avaient tort : aujourd'hui, on peut aller plus loin que la lune.",,"unable","capable",,,,,,,,,"For more, see: ""ability"" ""unable"" ""can"" ""capable""",19,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","abnormal","MF33081.mp3","EX33081.mp3",,"anormal","Are eclipses normal or abnormal phenomena?","Les éclipses sont-elles considérées comme des phénomènes normaux ou anormaux?",,"normal","freak",,,,,,,,,"For more, see: ""strange"" ""odd"" ""weird"" ""bizarre"" ""normal""",20,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common expressions","expressions","VH","about","MF56003.mp3","EX17001a.mp3","a",,"""No doubt about it.""","Cela va sans dire. Indubitablement. Absolument.",,,,,,,,,,,,,21,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common expressions","expressions","VH","about","MF56003.mp3","EX17001b.mp3","b",,"""We were just talking about you.""","Nous parlions justement de vous.",,,,,,,,,,,,,22,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"preposition","VH","about","MF45057.mp3","MS0003.mp3","c","au sujet de, sur","Now that there are about ten of us in the room, I can give my speech about mob psychology.","Nous sommes maintenant à peu près une dizaine de personnes dans la salle, je peux donc commencer mon discours sur la psychologie des foules.",,,,,,,,,,,,"For more, see: ""about to"" ""around"" ""regarding""",23,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"adverb","VH","about","MF45057.mp3","MS0004.mp3","d","environ, à peu près","There are about ten of us in the room. Now I can give my speech about mob psychology.","Nous sommes maintenant à peu près une dizaine de personnes dans la salle, je peux donc commencer mon discours sur la psychologie des foules.",,"exactly, precisely","around, approximately, nearly, almost",,,,,,,,,"For more, see: ""about to"" ""around"" ""regarding""",24,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common expressions","expressions","VH","about","MF56003.mp3","EX17001e.mp3","e",,"""I've heard so much about you!""","On m'a tellement parlé de vous.",,,,,,,,,,,,,25,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common expressions","expressions","VH","about","MF56003.mp3","EX17001c.mp3","f",,"""Don't even think about it!""","N'y pense même pas !",,,,,,,,,,,,,26,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"idiomatic expression","idiomatic expression","H","about to","MF48084.mp3","EX48084.mp3","a","sur le point de","I was about to park in a tow-away zone when I saw the meter maid giving out tickets.","J'étais sur le point de me garer dans une zone de stationnement interdit, lorsque j'ai vu la contractuelle commencer à mettre des P.V.",,,"on the verge of, ready to, almost",,,,,,,,,"For more, see: ""about""",27,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"position","adverb, position","VH","above","MF45058.mp3","EX45058.mp3","a","au-dessus de, plus haut que / ci-dessus","The Van Gogh is hanging above the safe.","Le Van Gogh est accroché au-dessus du coffre-fort.",,"below","on top of, overhead",,,,,,,,"as mentioned above...: comme indiqué ci-dessus","For more, see: ""on"" ""up"" ""over""",28,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,"preposition, position","preposition, position","VH","above","MF45058.mp3","MS0005.mp3","b","au-dessus de","Temperatures will rise above 100 °F today, so let's stay in the shade.","La température va dépasser les 100 °F aujourd'hui, alors restons à l'ombre.",,"below",,,,,,,,,"as mentioned above...: comme indiqué ci-dessus","For more, see: ""on"" ""up"" ""over""",29,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"verb","VH","abridge","MF24524.mp3","EX24524.mp3","a","abréger","I hope he'll abridge his speech.","J'espère qu'il va abréger son discours.",,"expand, extend","shorten, abbreviate",,,,"to abridge","abridged","abridged","abridging","unabridged dictionary: dictionnaire intégral","For more, see: ""shorten"" ""dictionary""",30,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adverb","M","abroad","MF45059.mp3","EX45059.mp3",,"à l'étranger","He spends a considerable amount of time abroad.","Le Prince Charles passe beaucoup de temps à l'étranger.",,"at home","overseas",,,,,,,,,"For more, see: ""foreign""",31,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","abrupt","MF04004.mp3","EX04004.mp3",,"soudain, brusque, précipité / abrupt","There has been an abrupt change in his behavior. Do you know what has happened to him?","Il y a eu un changement brutal dans son comportement ; savez-vous ce qui lui est arrivé ?",,"slowly","quick, sudden, hasty, brusque, hurried",,,,,,,,,"For more, see: ""abruptly"" ""sudden""",32,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adverb","M","abruptly","MF45060.mp3","EX45060.mp3",,"brusquement, tout à coup / abruptement / à pic","The avalanche occurred so abruptly that several dozen skiers were swept away.","L'avalanche s'est déclenchée si brusquement que plusieurs douzaines de skieurs ont été emportés par la neige.",,"slowly","suddenly, short",,,,,,,,,"For more, see: ""abrupt""",33,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,"abstract or conceptual words","noun, abstract","M","absence","MF48138.mp3","MS0006.mp3","a","absence","The absence of the main character remains, to this day, unexplained.","L'absence du personnage principal demeure, à ce jour, inexpliquée.","absences","presence",,,,,,,,,,"For more, see: ""absent"" ""presence""",34,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"abstract or conceptual words","noun, abstract","VH","absence","MF48138.mp3","EX48138.mp3","b","l'absence, éloignement, manque","Absence generally refers to when something or someone is missing or away. For example, if you have ""absence of mind"", that means you are very forgetful!","En général, l'absence évoque quelque chose ou quelqu'un qui manque ou qui est loin. Par exemple, ""avoir des absences"" signifie que l'on n'a pas de mémoire ou que l'on oublie facilement.","absences","presence",,,,,,,,,,,35,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"plural",,"absences","MF81001.mp3","MS0007.mp3",,,"""absences"" is the plural of:  absence",,,,,,,,,,,,,,36,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","absent","MF04005.mp3","EX04005.mp3",,"absent","There's a French saying that says: 'Those absent are always in the wrong'.","Il existe un proverbe français qui dit que les absents ont toujours tort.",,"present","missing, gone",,,,,,,,"absent-minded: distrait, absent","For more, see: ""absence"" ""absent-minded"" ""away"" ""present""",37,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"psychology","adjective, psychology","L","absent-minded","MF04006.mp3","EX04006.mp3",,"distrait","Einstein was brilliant but known to be absent-minded.","Einstein était certes un esprit très brillant mais il était aussi un grand distrait.",,"aware","lost, lost in thought, lost in the clouds, preoccupied, unobserving, inattentive",,,,,,,,,"For more, see: ""absent"" ""mind"" ""forget"" ""daydream""",38,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","absolute","MF04007.mp3","EX04007.mp3",,"absolu","It's been said that absolute love does not exist.","On dit que l'amour absolu n'existe pas.",,"relative","pure, sheer",,,,,,,,,"For more, see: ""absolutely""",39,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adverb","M","absolutely","MF45061.mp3","EX45061.mp3",,"absolument, formellement","It's absolutely forbidden to walk on the grass.","Il est formellement interdit de marcher sur la pelouse.",,"perhaps, maybe","definitely, positively, unquestionably",,,,,,,,,"For more, see: ""absolute"" ""altogether""",40,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","abstract","MF04008.mp3","EX04008.mp3",,"abstrait","This isn't a mere tin can, it's an example of the greatest abstract art ever produced!","Ceci n'est pas une simple boîte de conserve, c'est l'un des plus beaux chefs-d'oeuvre de l'art abstrait créés à ce jour !",,"concrete","theoretical, hypothetical",,,,,,,,,"For more see: ""concept"" ""abstraction""",41,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","H","absurd","MF33082.mp3","EX33082.mp3",,"absurde / insensé","Dogs often look absurd when forced to wear pullovers.","Les chiens ont souvent l'air idiot quand on leur fait porter des pull-overs.",,"reasonable","ridiculous, crazy, illogical",,,,,,,,,"For more, see: ""strange"" ""bizarre"" ""weird"" ""unusual""   ""ridiculous""",42,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","abundant","MF33083.mp3","EX33083.mp3",,"abondant, riche","Tropical rain forests have an abundant supply of resources for mankind.","Les forêts tropicales constituent un riche réservoir de ressources pour l'homme.",,"scarce, scant, little","plentiful",,,,,,,,,"For more, see: ""overflowing"" ""a great deal of"" ""a lot"" ""quantity""",43,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common; homograph","noun, common; homograph","H","abuse","MF25214.mp3","EX25214.mp3",,"abus / insultes, mauvais traitements","Who wrote ""The Use and Abuse of Language""?","Qui a écrit ""The Use and Abuse of Language"" (De l'usage et de l'abus du langage) ?","abuses",,,,,,,,,,,,44,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"verb; homograph","verb; homograph","VH","abuse","MF24525.mp3","EX24525.mp3","a","abuser de / insulter, malmener","""Use, don't abuse,""  she advised.","""Usez mais n'abusez pas"", conseilla-t-il.",,"praise, honor, respect","exploit, misuse, take advantage of / insult, belittle, hurt, harm, mistreat",,,,"to abuse","abused","abused","abusing",,"For more, see: ""harm"" ""injure"" ""exploit""",45,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"verb, past tense",,"abused","MF63003.mp3","MS0008.mp3",,,"""abused"" is the past tense of:  abuse",,,,,,,,,,,,,,46,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"verb","VH","accelerate","MF24526.mp3","EX24526.mp3","a","(s') accélérer","The President's speech probably accelerated the course of events.","Le discours du président a probablement précipité le cours des événements.",,"decelerate","speed, hasten, hurry, advance",,,,"to accelerate","accelerated","accelerated","accelerating",,"For more, see: ""speed"" ""speed up""",47,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"verb, past tense",,"accelerated","MF63004.mp3","MS0009.mp3",,,"""accelerated"" is the past tense of:  accelerate",,,,,,,,,,,,,,48,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common, language; homograph","noun, common, language; homograph","H","accent","MF25215.mp3","EX25215.mp3",,"accent","Now that you have mastered English syntax, you'll soon be able to speak without an accent.","Maintenant que vous maîtrisez la syntaxe anglaise, vous pourrez bientôt parler sans accent.","accents",,,,,,,,,,,,49,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"language","verb, language","VH","accented","MF24527.mp3","EX24527.mp3","a","accentuer","The word 'photographer' is accented on the second syllable.","Le mot anglais ""photographer"" est accentué sur la deuxième syllabe.",,,,,,,"to accent","accented","accented","accenting",,"For more, see: ""emphasize"" ""accentuate""",50,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"verb","VH","accept","MF24528.mp3","EX24528.mp3","a","accepter","Liz Taylor has accepted a role in Ford's last film.","Liz Taylor a accepté un rôle dans le prochain film de Ford.",,"reject","approve, agree",,,,"to accept","accepted","accepted","accepting",,"For more, see: ""unacceptable"" ""refuse""",51,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"verb","VH","accept","MF24529.mp3","EX24529.mp3","b","accepter","You must learn to accept compliments.","Il faut apprendre à accepter les compliments.",,"reject","approve, agree",,,,"to accept","accepted","accepted","accepting",,"For more, see: ""unacceptable"" ""refuse""",52,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","H","acceptable","MF33084.mp3","EX33084.mp3",,"acceptable, correct","Talking out of turn is not acceptable behavior in a classroom.","En classe, il n'est pas permis de prendre la parole sans y être invité.",,"unacceptable","satisfactory, good, right, fitting",,,,,,,,,"For more, see: ""legitimate"" ""accept""",53,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"verb, past tense",,"accepted","MF63006.mp3","MS0010.mp3",,,"""accepted"" is the past tense of:  accept",,,,,,,,,,,,,,54,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"verb; homograph","verb; homograph","VH","access","MF24530.mp3","EX24530.mp3","a","accéder à","Sorry, we can't access the files.","L'ordinateur est buggé et on ne peut pas accéder aux fichiers.",,,"reach, get to",,,,"to access","accessed","accessed","accessing",,"For more, see: ""use""",55,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common; homograph","noun, common; homograph","H","access","MF25216.mp3","EX25216.mp3",,"accès","Does this room have access to the garden?","Cette pièce a-t-elle un accès sur le jardin ?","accesses",,,,,,,,,,,,56,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","accessible","MF33085.mp3","EX33085.mp3",,"accessible, d'accès facile, d'un abord facile","Their lakeside cottage was only accessible in the summer.","Leur villa au bord du lac n'était accessible qu'en été.",,"inaccessible, closed","open",,,,,,,,,"For more, see: ""attainable"" ""reachable""",57,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"plural",,"accessories","MF81002.mp3","MS0011.mp3",,,"""accessories"" is the plural of:  accessory",,,,,,,,,,,,,,58,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"accessory","noun, accessory","M","accessory","MF25001.mp3","EX25001.mp3",,"accessoire","Fashion accessories include hats, belts and bags.","Les accessoires de mode comprennent les chapeaux, les ceintures et les sacs.","accessories",,,,,,,,,,"car accessories: accessoires auto  //  toilet accessories: accessoires de toilette",,59,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common nouns","noun, common","H","accident","MF25217.mp3","EX25217.mp3",,"accident","You'll never be safe from little accidents.","On n'est jamais à l'abri des petits accidents.","accidents",,,,,,,,,,,"For more, see: ""accidental"" ""accidentally""",60,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","accidental","MF04010.mp3","EX04010.mp3",,"accidentel, fortuit","Our encounter wasn't arranged; it was purely accidental.","Notre rencontre n'était pas prévue, elle a eu lieu tout à fait accidentellement.",,"on purpose","casual, unplanned, unintended",,,,,,,,,"For more, see: ""accident"" ""accidentally"" ""chance"" ""unintentional""",61,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adverb","M","accidentally","MF45062.mp3","EX45062.mp3",,"par hasard, accidentellement","I accidentally met my wife with my best friend. Hmmm...","J'ai rencontré, tout à fait par hasard, mon mari avec ma meilleure amie. Hum...",,"deliberately, intentionally, on purpose","incidentally, casually, unintentionally",,,,,,,,,"For more, see: ""accident"" ""accidental"" ""chance""",62,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"plural",,"accidents","MF81003.mp3","MS0012.mp3",,,"""accidents"" is the plural of:  accident",,,,,,,,,,,,,,63,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"verb","VH","acclaim","MF56006.mp3","EX56006.mp3","a","acclamer / proclamer","Vanessa Paradis was acclaimed a few years ago to be the most promising young singer in France. She has won wide acclaim from critics for both singing and acting.","Vanessa Paradis a été proclamée il y a quelques années le plus jeune espoir de la chanson française. Elle a reçu les félicitations des critiques, aussi bien pour ses chansons que pour ses rôles au cinéma.",,"denounce","hail, commend, herald, praise, applaud",,,,"to acclaim","acclaimed","acclaimed","acclaiming",,"For more, see: ""cheer"" ""applaud"" ""clap""",64,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common nouns","noun, common","M","accomplice","MF25218.mp3","EX25218.mp3",,"complice","You weren't alone. We have witnesses. Who's your accomplice?","Vous n'étiez pas seul, des témoins nous l'ont affirmé. Qui est votre complice ?","accomplices",,,,,,,,,,,,65,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"verb","VH","accomplish","MF24531.mp3","EX24531.mp3","a","accomplir, réaliser","Accomplishing all his chores proved to be more than a day's work.","Il lui a fallu plus d'une journée de travail pour accomplir toutes ses corvées.",,"fail","achieve, attain, reach, realize",,,,"to accomplish","accomplished","accomplished","accomplishing",,"For more, see: ""achieve"" ""succeed"" ""attain""",66,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"verb, past tense",,"accomplished","MF63009.mp3","MS0013.mp3",,,"""accomplished"" is the past tense of:  accomplish",,,,,,,,,,,,,,67,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adverb","M","according to","MF45063.mp3","EX45063.mp3",,"selon, suivant, d'après","According to the inhabitants, their small country is a paradise.","Selon les habitants, ce petit pays est un paradis.",,,"by, as to",,,,,,,,,,68,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"finance","noun, finance","H","account","MF25219.mp3","EX25219.mp3",,"compte","My account is in the red. I'd better check the accounts.","Mon compte est à découvert. Je ferais mieux de vérifier mes comptes.","accounts",,,,,,,,,,,"For more, see: ""accountant"" ""accounting""",69,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"adjective","M","accountable (to be accountable for)","MF56007.mp3","MS0014.mp3",,"responsable, être ~de, être tenu ~ de / devoir répondre de","I'm sorry, but I can't be held accountable for a crime I didn't commit.","Je regrette, mais je n'ai pas à répondre d'un délit que je n'ai pas commis.",,"unaccountable, blameless","responsible",,,,,,,,,"For more, see: ""reliable""",70,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"occupations","noun, occupation","M","accountant","MF56008.mp3","EX56008.mp3",,"comptable","I always ask the accountant to help me do my accounts.","Je demande toujours au comptable de m'aider à faire mes comptes.","accountants",,,,,,,,,,"chartered accountant: expert-comptable","For more, see: ""account"" ""accounting"" ""bookkeeper""",71,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"plural",,"accountants","MF81004.mp3","MS0015.mp3",,,"""accountants"" is the plural of:  accountant",,,,,,,,,,,,,,72,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"finance","noun, finance","H","accounting","MF56009.mp3","EX56009.mp3",,"comptabilité","Accounting was not her favorite activity. In fact, I think her favorite activity was spending...","La comptabilité n'était vraiment pas son fort. En fait, je crois qu'elle était surtout versée dans l'art de la dépense.",,,,,,,,,,,,"For more, see: ""account"" ""accountant""",73,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"plural",,"accounts","MF81005.mp3","MS0016.mp3",,,"""accounts"" is the plural of:  account",,,,,,,,,,,,,,74,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"verb","VH","accumulate","MF24532.mp3","EX24532.mp3","a","(s') accumuler","We're accumulating a backlog.","Le retard s'accumule.",,"dissipate, diminish, lessen, dispense","collect, gather, amass",,,,"to accumulate","accumulated","accumulated","accumulating",,"For more, see: ""collect"" ""gather""",75,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","accurate","MF04011.mp3","EX04011.mp3","b","précis, exact, juste","Are the findings of the report accurate?","Les conclusions du rapport sont-elles exactes?",,"inaccurate, approximate","precise, exacting, exact",,,,,,,,,"For more, see: ""accurately"" ""inaccurate"" ""right""",76,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adjective","M","accurate","MF04011.mp3","EX04011.mp3","a","précis, exact, juste","I think ""yes"" would be the accurate word in this case.","Je pense que dans ce cas, le mot ""oui"" serait le plus approprié.",,"inaccurate, approximate","precise, exacting, exact",,,,,,,,,"For more, see: ""accurately"" ""inaccurate"" ""right""",77,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"adverb","M","accurately","MF45064.mp3","EX45064.mp3",,"avec précision, exactement, fidèlement","""Are you sure you've described what you saw accurately?"", Sherlock asked.","""Etes-vous sûr d'avoir décrit ce que vous avez vu avec précision ?"", a demandé Sherlock.",,"vaguely, unclearly","precisely, exactly, correctly, properly",,,,,,,,,"For more, see: ""accurate"" ""precisely""",78,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"common nouns","noun, common","M","accusation","MF25220.mp3","EX25220.mp3",,"accusation / plainte","Avoid accusations unless you want to be accused.","Evitez les accusations, à moins que vous teniez à ce que l'on vous accuse.","accusations",,,,,,,,,,,"For more, see: ""accuse"" ""charge""",79,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"law","verb, law","VH","accuse","MF24533.mp3","EX24533.mp3","a","accuser (de)","The student was accused of cheating.","On a accusé l'étudiant d'avoir triché.",,"acquit, vindicate, absolve","charge, indict, incriminate",,,,"to accuse","accused","accused","accusing",,"For more, see: ""accusation""",80,,,,
